candidate,gene_1,gene_2,effect,pathway_relevance,uncertainty,priority,experiment_priority_0_10
KIF2C_POU3F2,KIF2C,POU3F2,0.17267129,0.2857142857142857,0.009261873550713062,0.04888191566444977,0.7692766883940335
HNF4A_SLC6A9,HNF4A,SLC6A9,0.34582853,0.14285714285714285,0.010996835306286812,0.04886669714702729,0.76903718774178
COL2A1_IGDCC3,COL2A1,IGDCC3,0.3471698,0.14285714285714285,0.01638834923505783,0.04879599795729773,0.7679245628004696
NCL_TBX3,NCL,TBX3,0.34653896,0.14285714285714285,0.015163845382630825,0.048766084482657984,0.7674538009983507
FOXA1_KIF2C,FOXA1,KIF2C,0.17194042,0.2857142857142857,0.008622957393527031,0.048705844746688126,0.7665057811843415
POU3F2_STIL,POU3F2,STIL,0.17172818,0.2857142857142857,0.007547474466264248,0.0486976496920272,0.7663768119239296
FOXA1_NCL,FOXA1,NCL,0.17202488,0.2857142857142857,0.009974442422389984,0.04866456265868946,0.7658561064014708
FOXA1_MAP2K6,FOXA1,MAP2K6,0.17098366,0.2857142857142857,0.004793600179255009,0.04861941147781542,0.7651455419641381
CBFA2T3_CELF2,CBFA2T3,CELF2,0.17140603,0.2857142857142857,0.007361630443483591,0.048615264008147405,0.7650802713689075
CEBPB_DUSP9,CEBPB,DUSP9,0.34675506,0.14285714285714285,0.019080867990851402,0.048608936103226946,0.7649806862835951
LYL1_TBX3,LYL1,TBX3,0.3459746,0.14285714285714285,0.0174048263579607,0.04857942558380574,0.7645162659689542
EGR1_KIF18B,EGR1,KIF18B,0.17144844,0.2857142857142857,0.008591610938310623,0.048567991104847504,0.764336316431647
FOXA1_PTPN13,FOXA1,PTPN13,0.17056702,0.2857142857142857,0.004785871598869562,0.04850131344828502,0.7632869801662198
ARRDC3_CBFA2T3,ARRDC3,CBFA2T3,0.17127314,0.2857142857142857,0.009516371414065361,0.048473887935487965,0.7628553725384244
AHR_CITED1,AHR,CITED1,0.3437343,0.14285714285714285,0.013234398327767849,0.048463513723040565,0.7626921088919868
AHR_HNF4A,AHR,HNF4A,0.3445169,0.14285714285714285,0.015575510449707508,0.0484618819037109,0.7626664282173873
FOXA1_RHOXF2,FOXA1,RHOXF2,0.17048661,0.2857142857142857,0.005535086616873741,0.048442328688524695,0.7623587104771671
PRTG_TBX3,PRTG,TBX3,0.34345287,0.14285714285714285,0.012915849685668945,0.04843906416346375,0.7623073351782672
TBX2_UBASH3A,TBX2,UBASH3A,0.34273866,0.14285714285714285,0.011767431162297726,0.0483932017849543,0.7615855783039291
CLDN6_COL2A1,CLDN6,COL2A1,0.34508404,0.14285714285714285,0.019058216363191605,0.048375764409021006,0.7613111584774983
CLDN6_SNAI1,CLDN6,SNAI1,0.34389317,0.14285714285714285,0.01572260819375515,0.04836713820184919,0.7611754039761386
ISL2_OSR2,ISL2,OSR2,0.34250036,0.14285714285714285,0.011697323061525822,0.04836290615112201,0.761108802290745
STIL_TBX3,STIL,TBX3,0.342827,0.14285714285714285,0.012834712862968445,0.048354666352259906,0.7609791288707182
CSRNP1_MEIS1,CSRNP1,MEIS1,0.08512134,0.5714285714285714,0.007198014296591282,0.04829315151903634,0.7600110422778322
ATL1_COL1A1,ATL1,COL1A1,0.3452248,0.14285714285714285,0.021580643951892853,0.048276001056307964,0.7597411377335285
JUN_RUNX1T1,JUN,RUNX1T1,0.08522685,0.5714285714285714,0.00899847038090229,0.04826672967492529,0.7595952298354857
LHX1_PTPN1,LHX1,PTPN1,0.34301242,0.14285714285714285,0.015599628910422325,0.04824910646154429,0.7593178854015715
FOXA1_MAP4K3,FOXA1,MAP4K3,0.16963245,0.2857142857142857,0.0048060426488518715,0.04823459668436531,0.7590895385132417
CITED1_LHX1,CITED1,LHX1,0.34274963,0.14285714285714285,0.015374208800494671,0.048222844131709984,0.7589045833071297
CBFA2T3_DLX2,CBFA2T3,DLX2,0.1701828,0.2857142857142857,0.008994043804705143,0.048190230479679574,0.758391327599178
